excavation_no,id_text,accession_no,accounting_period,acquisition_history,alternative_years,archive,ark,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,collection_copyright,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,electronic_publication,elevation,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,join_information,language,lineart_up,material,museum_no,object_preservation,object_remarks,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,public,public_atf,public_images,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,writing_phase
"","P108719","","","","","","21198/zz001qqrn8","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.07.07.00","","10/20/2018","Amar-Suen.07.07.00","20011220 ur3_catalogue","CTMMA 1, 035","","","bdtns:030279","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 57.16.03","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 035","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S002856","","","","","","","?","no translation","?",""
"","P108720","","Amar-Suen.07.06.00 to Amar-Suen.07.08.00","","","","21198/zz001qqrps","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.07.08.00","ezem instead of iti throughout","9/11/2019","Amar-Suen.07.06.00, Amar-Suen.07.08.00","20011220 ur3_catalogue","CTMMA 1, 036","","","bdtns:030280","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 65.72","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 036","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S005907","","","","","","","?","no translation","?",""
"","P108721","","","","","","21198/zz001qqrq9","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","  -Suen.01.00.00 (us2 year)","","2/12/2020","  -Suen.01.00.00 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 037","","","bdtns:030281","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 41.160.237","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 037","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","S003565","","","","","","","?","no translation","?",""
"","P108722","","","","","","21198/zz001qqrrt","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","  -Suen.09.10.00","","2/12/2020","  -Suen.09.10.00","20011220 ur3_catalogue","CTMMA 1, 038","","","bdtns:030282","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 86.11.243","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 038","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","Sx","","","","","","","?","no translation","?",""
"","P108723","","","","","","21198/zz001qqrsb","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Amar-Suen.02.00.00","","10/20/2018","Amar-Suen.02.00.00","20011220 ur3_catalogue","CTMMA 1, 039","","","bdtns:030283","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 11.217.20","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 039","Girsu (mod. Tello)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108724","","  -Suen.09.01.00 to   -Suen.09.12.00","","","","21198/zz001qqrtv","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","  -Suen.09.12.00","months only implicit in account","2/12/2020","  -Suen.09.01.00,   -Suen.09.11d.00 (intercalated),   -Suen.09.12.00","20011220 ur3_catalogue","CTMMA 1, 040","","","bdtns:030284","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 86.11.244","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 040","Girsu (mod. Tello)","","yes","yes","yes","1988","apud Spar, I., ed.","","Sx","","","","","","","?","no translation","?",""
"","P108725","","","","","","21198/zz001qqrvc","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","--.--.06.29","","10/20/2018","--.--.06.29","20011220 ur3_catalogue","CTMMA 1, 041","","","bdtns:030285","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 60.172","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 041","Nippur (mod. Nuffar)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108726","","","","","","21198/zz001qqrww","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","--.--.00.00","","10/20/2018","--.--.00.00","20011220 ur3_catalogue","CTMMA 1, 042","","","bdtns:030286","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 57.16.04","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 042","Nippur (mod. Nuffar)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
"","P108727","","","","","","21198/zz001qqrxd","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","  -Suen.04.05.23 (us2 year)","","2/12/2020","  -Suen.04.05.23 (us2 year)","20011220 ur3_catalogue","CTMMA 1, 043","","","bdtns:030287","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 57.16.05","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 043","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","messenger text","","","","?","no translation","?",""
"","P108728","","","","","","21198/zz001qqrzx","cdlistaff","","Sigrist, Marcel","","","","","Metropolitan Museum of Art, New York, New York, USA","","","","12/20/2001","Ibbi-Suen.01.02.20","","10/20/2018","Ibbi-Suen.01.02.20","20011220 ur3_catalogue","CTMMA 1, 044","","","bdtns:030288","","","Administrative","","","?","","Sumerian","150ppi 20160630","clay","MMA 1985.180.02","","","tablet","Ur III (ca. 2100-2000 BC)","","","CTMMA 1, 044","Umma (mod. Tell Jokha)","","yes","yes","yes","1988","apud Spar, I., ed.","","","","","","","","","?","no translation","?",""
